                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,       train/illum_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,         val/illum_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     32,                0.69901,                0.46738,                 1.3866,                0.00699,                0.82027,                0.81702,                0.87018,                0.72681,                0.65702,                0.40337,                 1.4672,                0.00228,               0.006931,               0.006931,               0.006931
                     33,                0.69636,                0.46499,                  1.397,                0.00661,                0.80766,                0.82199,                0.85724,                0.71503,                0.65752,                0.40512,                   1.47,                0.00245,               0.006832,               0.006832,               0.006832
                     34,                0.69767,                0.46617,                 1.3949,                0.00718,                0.81357,                0.82354,                 0.8671,                0.72264,                 0.6552,                0.40153,                 1.4662,                0.00222,               0.006733,               0.006733,               0.006733
                     35,                0.69262,                0.46184,                 1.3898,                0.00635,                0.81861,                0.82744,                0.87035,                0.72817,                0.65192,                0.40065,                 1.4622,                0.00234,               0.006634,               0.006634,               0.006634
                     36,                0.69397,                0.45854,                  1.393,                 0.0073,                0.81458,                0.81798,                0.86439,                0.72321,                0.65273,                0.40186,                 1.4614,                0.00271,               0.006535,               0.006535,               0.006535
                     37,                0.69197,                0.46031,                 1.3921,                0.00683,                0.81093,                0.82312,                0.86526,                 0.7234,                0.65335,                0.40042,                 1.4642,                0.00266,               0.006436,               0.006436,               0.006436
                     38,                0.69219,                0.45725,                 1.3921,                0.00676,                0.80532,                0.81913,                0.85827,                0.71842,                0.65142,                0.40066,                 1.4653,                0.00284,               0.006337,               0.006337,               0.006337
                     39,                0.68957,                0.45343,                 1.3936,                0.00687,                0.81702,                0.83703,                0.87032,                0.72872,                0.65113,                0.39423,                 1.4704,                0.00263,               0.006238,               0.006238,               0.006238
                     40,                0.68919,                0.45568,                 1.3909,                0.00677,                0.82094,                0.82912,                0.87085,                0.72991,                0.64935,                0.39391,                 1.4731,                0.00258,               0.006139,               0.006139,               0.006139
                     41,                 0.6856,                0.45055,                 1.3873,                0.00645,                0.82275,                0.83118,                0.87287,                 0.7322,                0.64937,                0.39336,                 1.4701,                0.00243,                0.00604,                0.00604,                0.00604
                     42,                0.68237,                0.44756,                 1.3918,                0.00645,                0.82678,                0.82621,                0.87177,                0.73127,                0.64878,                0.39275,                  1.474,                0.00244,               0.005941,               0.005941,               0.005941
                     43,                0.68245,                 0.4473,                 1.3894,                0.00662,                0.81696,                0.84001,                0.87241,                0.73234,                0.64836,                0.39196,                 1.4693,                0.00239,               0.005842,               0.005842,               0.005842
                     44,                0.68094,                0.44492,                 1.3859,                0.00627,                0.81682,                0.83398,                0.87025,                0.73046,                0.64812,                0.39294,                 1.4673,                0.00217,               0.005743,               0.005743,               0.005743
                     45,                  0.679,                0.44518,                 1.3826,                0.00606,                0.82139,                0.82766,                0.86842,                0.72961,                0.64674,                 0.3931,                 1.4668,                0.00223,               0.005644,               0.005644,               0.005644
