                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.03525,                0.52777,                0.27797,                0.74562,                0.74958,                0.77563,                0.56961,                0.06504,                0.47538,                0.27474,               0.006436,               0.006436,               0.006436
                     38,                0.03543,                0.52943,                0.27821,                0.74393,                0.75989,                0.77851,                 0.5726,                0.06542,                0.47214,                0.27481,               0.006337,               0.006337,               0.006337
                     39,                0.03356,                0.52268,                0.27478,                0.73833,                0.75831,                0.77367,                0.56834,                0.06625,                0.47158,                0.27659,               0.006238,               0.006238,               0.006238
                     40,                 0.0348,                0.52427,                0.27465,                0.74499,                0.75796,                0.77453,                0.57102,                 0.0656,                 0.4686,                0.27487,               0.006139,               0.006139,               0.006139
                     41,                0.03649,                0.51328,                0.27647,                0.73239,                0.76311,                0.77331,                 0.5713,                0.06556,                0.47013,                0.27262,                0.00604,                0.00604,                0.00604
                     42,                0.03475,                0.51375,                0.27286,                0.74449,                0.77175,                0.77893,                0.57303,                0.06455,                0.46874,                0.27105,               0.005941,               0.005941,               0.005941
                     43,                 0.0342,                0.52388,                0.26972,                0.74304,                0.77816,                0.78318,                0.57653,                0.06479,                0.46534,                0.27156,               0.005842,               0.005842,               0.005842
                     44,                0.03229,                 0.5042,                0.27022,                0.75433,                0.77738,                0.78597,                0.58013,                0.06302,                0.46407,                0.27123,               0.005743,               0.005743,               0.005743
                     45,                0.03305,                0.50698,                0.26931,                0.75672,                0.77484,                0.78585,                0.58107,                0.06329,                0.46407,                0.27179,               0.005644,               0.005644,               0.005644
                     46,                0.03368,                0.51568,                0.26987,                0.75729,                0.76974,                0.78826,                0.58318,                0.06325,                0.46343,                0.27059,               0.005545,               0.005545,               0.005545
                     47,                0.03076,                0.50459,                0.26736,                 0.7588,                0.76924,                0.78904,                0.58357,                0.06248,                0.46228,                0.27057,               0.005446,               0.005446,               0.005446
                     48,                0.03314,                0.51206,                 0.2676,                0.75752,                0.76896,                0.78912,                0.58596,                0.06182,                0.46351,                0.26948,               0.005347,               0.005347,               0.005347
                     49,                0.03377,                 0.5065,                0.26806,                0.76182,                0.76937,                0.79213,                0.58865,                0.06139,                0.46175,                0.26874,               0.005248,               0.005248,               0.005248
                     50,                0.03381,                0.50174,                0.26572,                 0.7685,                 0.7569,                0.78996,                0.58683,                 0.0606,                0.46228,                0.26808,               0.005149,               0.005149,               0.005149
                     51,                0.03114,                0.49509,                0.26313,                0.76565,                0.76907,                0.79312,                 0.5909,                0.06091,                0.46203,                0.26785,                0.00505,                0.00505,                0.00505
                     52,                0.03447,                0.50396,                 0.2681,                 0.7688,                0.76695,                0.79484,                0.59206,                0.06187,                 0.4597,                0.26866,               0.004951,               0.004951,               0.004951
                     53,                 0.0328,                0.49208,                0.26215,                0.77045,                0.77188,                0.79705,                0.59432,                0.06087,                0.45966,                0.26707,               0.004852,               0.004852,               0.004852
                     54,                 0.0305,                0.49335,                 0.2566,                0.77156,                 0.7762,                0.80009,                0.59809,                0.06082,                 0.4575,                0.26698,               0.004753,               0.004753,               0.004753
                     55,                0.03298,                0.48567,                0.26177,                0.77897,                 0.7729,                0.80232,                0.59879,                0.06088,                0.45628,                0.26716,               0.004654,               0.004654,               0.004654
                     56,                0.03197,                0.50016,                0.26174,                0.77675,                0.77577,                0.80274,                0.59989,                0.06156,                 0.4573,                0.26692,               0.004555,               0.004555,               0.004555
                     57,                0.03087,                0.48534,                0.25818,                0.77692,                0.77889,                0.80272,                0.60045,                 0.0611,                0.45527,                0.26676,               0.004456,               0.004456,               0.004456
